Reference, Value, Footprint, Datasheet, Supplier, Supplier P/N, Supplier URL, Manufacturer, Manufacturer P/N, Datasheet URL, Description, Unit Cost, Accessory, Supplier URl, Manufacturer URL, NOTE
RLY1,G5LE-1A4 DC3,custom_footprints:relay_G5LE_1A4,,Digikey,Z3697-ND,http://www.digikey.com/product-detail/en/G5LE-1A4%20DC3/Z3697-ND/1815639,Omron,G5LE-1A4 DC3,https://www.components.omron.com/components/web/PDFLIB.nsf/0/0293ACA6B03161CD86257538007424DB/$file/G5LE_0813.pdf,RELAY GEN PURPOSE SPST 10A 3V,1.43,,,,
D21,SK310A-LTP,custom_footprints:do214ac,,Digikey,SK310A-LTPMSCT-ND,http://www.digikey.com/product-detail/en/SK310A-LTP/SK310A-LTPMSCT-ND/2642066,Micro Commercial Components (MMC),SK310A-LTP,http://www.mccsemi.com/up_pdf/SK32A-LT~SK310A-LT%28DO-214AC%29.PDF,Schottky Diodes & Rectifiers DIODE SCHOTTKY 100V 3A DO214AC ,0.57,,,,
Q3,RRR015P03TL,custom_footprints:sot346,,Digikey,RRR015P03TLCT-ND,http://www.digikey.com/product-detail/en/RRR015P03TL/RRR015P03TLCT-ND/3769397,Rohm Semiconductor,RRR015P03TL,http://rohmfs.rohm.com/en/products/databook/datasheet/discrete/transistor/mosfet/rrr015p03tl-e.pdf,MOSFET P-CH 30V 1.5A TSMT3,0.43,,,,
Q2,RRR015P03TL,custom_footprints:sot346,,Digikey,RRR015P03TLCT-ND,http://www.digikey.com/product-detail/en/RRR015P03TL/RRR015P03TLCT-ND/3769397,Rohm Semiconductor,RRR015P03TL,http://rohmfs.rohm.com/en/products/databook/datasheet/discrete/transistor/mosfet/rrr015p03tl-e.pdf,MOSFET P-CH 30V 1.5A TSMT3,0.43,,,,
U10,SN74LVC2G06,custom_footprints:DCK,,Digikey,296-13493-1-ND,http://www.digikey.com/product-detail/en/texas-instruments/SN74LVC2G06DCKR/296-13493-1-ND/486425,Texas Instruments,SN74LVC2G06DCKR,http://www.ti.com/lit/ds/symlink/sn74lvc2g06.pdf,IC INVERTER DUAL 1INPUT SC706,0.54,,,,
R4,510,Resistors_SMD:R_0603_HandSoldering,,DigiKey,RHM510KCT-ND,http://www.digikey.com/product-detail/en/rohm-semiconductor/ESR10EZPJ511/RHM510KCT-ND/1763033,Rohm Semiconductor,ESR10EZPJ511,http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/esr.pdf,RES SMD 510 OHM 5% 0.4W 0805,0.10,,,,
U13,TLP2361,custom_footprints:TLP2361,,Digikey,TLP2361(V4-TPLECT-ND,http://www.digikey.com/product-search/en?keywords=TLP2361(V4-TPLECT-ND,Toshiba Semiconductor and Storage,TLP2361(V4-TPL,E,http://www.semicon.toshiba.co.jp/info/docget.jsp?type=datasheet&lang=en&pid=TLP2361,OPTOISO 3.75KV PSH PULL SO6-5,1.14,,,,
C7,0.1u,Capacitors_SMD:C_0603_HandSoldering,
R9,10k,Resistors_SMD:R_0603_HandSoldering,
RLY2,T9AS1D12-5,custom_footprints:RLY_T9AS1D12-5,,Digikey,PB1014-ND,http://www.digikey.com/product-search/en?keywords=PB1014-ND,TE Connectivity Potter & Brumfield Relays,T9AS1D12-5,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_T9A&DocType=DS&DocLang=English,RELAY GEN PURPOSE SPST 30A 5V,4.22,,,,
C28,.1u,Capacitors_SMD:C_0603_HandSoldering,,DigiKey,399-7845-1-ND,http://www.digikey.com/product-detail/en/kemet/C0603C104M5RACTU/399-7845-1-ND/3471568,Kemet,C0603C104M5RACTU,http://www.kemet.com/docfinder?Partnumber=C0603C104M5RACTU,0.10µF 50V Ceramic Capacitor X7R 0603 (1608 Metric) 0.063" L x 0.031" W (1.60mm x 0.80mm),0.10,,,,
C29,.1u,Capacitors_SMD:C_0603_HandSoldering,,DigiKey,490-6112-1-ND,http://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM0335C1H100JA01D/490-6112-1-ND/3845312,Murata Electronics North America,GRM0335C1H100JA01D,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.pdf,10pF 50V Ceramic Capacitor C0G, NP0 0201 (0603 Metric) 0.024" L x 0.012" W (0.60mm x 0.30mm),0.10,,,,
